timestamp,ax,ay,az,gx,gy,gz,label,activity,subject
0,-0.102,-0.021,-0.422,-0.5715,-0.0694,-0.7198,0,walk,subject_04
0.01,-0.135,0.001,-0.393,-0.572,-0.0657,-0.7087,0,walk,subject_04
0.02,-0.175,0.043,-0.343,-0.5708,-0.0673,-0.6971,0,walk,subject_04
0.03,-0.178,0.1,-0.273,-0.5681,-0.0731,-0.6854,0,walk,subject_04
0.04,-0.155,0.127,-0.249,-0.5642,-0.0814,-0.674,0,walk,subject_04
0.05,-0.123,0.159,-0.265,-0.5591,-0.0915,-0.6629,0,walk,subject_04
0.06,-0.123,0.164,-0.283,-0.5531,-0.1026,-0.6522,0,walk,subject_04
0.07,-0.15,0.168,-0.276,-0.5463,-0.1144,-0.6416,0,walk,subject_04
0.08,-0.184,0.182,-0.267,-0.5387,-0.1266,-0.6311,0,walk,subject_04
0.09,-0.213,0.205,-0.264,-0.5304,-0.1387,-0.6204,0,walk,subject_04
0.1,-0.281,0.247,-0.261,-0.5218,-0.1503,-0.6096,0,walk,subject_04
0.11,-0.367,0.268,-0.244,-0.5135,-0.161,-0.5989,0,walk,subject_04
0.12,-0.329,0.266,-0.212,-0.5059,-0.171,-0.5882,0,walk,subject_04
0.13,-0.171,0.284,-0.155,-0.4986,-0.1807,-0.5769,0,walk,subject_04
0.14,-0.052,0.313,-0.086,-0.4915,-0.1899,-0.5647,0,walk,subject_04
0.15,-0.033,0.37,-0.087,-0.4847,-0.1985,-0.5519,0,walk,subject_04
0.16,-0.081,0.405,-0.107,-0.4786,-0.2071,-0.5392,0,walk,subject_04
0.17,-0.15,0.417,-0.089,-0.4734,-0.2167,-0.5275,0,walk,subject_04
0.18,-0.153,0.415,-0.032,-0.4693,-0.2277,-0.5177,0,walk,subject_04
0.19,-0.061,0.387,0.037,-0.4665,-0.2399,-0.5106,0,walk,subject_04
0.2,0.096,0.349,0.067,-0.4652,-0.2528,-0.506,0,walk,subject_04
0.21,0.222,0.313,0.08,-0.4648,-0.2668,-0.5033,0,walk,subject_04
0.22,0.291,0.283,0.1,-0.4636,-0.2826,-0.5014,0,walk,subject_04
0.23,0.299,0.259,0.089,-0.4607,-0.3005,-0.4995,0,walk,subject_04
0.24,0.248,0.224,0.058,-0.4562,-0.3207,-0.4977,0,walk,subject_04
0.25,0.13,0.182,0.059,-0.4503,-0.3429,-0.4962,0,walk,subject_04
0.26,-0.023,0.134,0.119,-0.4427,-0.3668,-0.4953,0,walk,subject_04
0.27,-0.14,0.104,0.234,-0.433,-0.3916,-0.495,0,walk,subject_04
0.28,-0.178,0.082,0.248,-0.4218,-0.4155,-0.496,0,walk,subject_04
0.29,-0.169,0.036,0.227,-0.4114,-0.4365,-0.4987,0,walk,subject_04
0.3,-0.115,-0.009,0.221,-0.4024,-0.453,-0.5034,0,walk,subject_04
0.31,-0.07,-0.029,0.249,-0.396,-0.4658,-0.5085,0,walk,subject_04
0.32,-0.013,-0.058,0.251,-0.392,-0.4757,-0.5134,0,walk,subject_04
0.33,0.051,-0.108,0.209,-0.3896,-0.4827,-0.5183,0,walk,subject_04
0.34,0.087,-0.172,0.164,-0.3888,-0.4871,-0.5234,0,walk,subject_04
0.35,0.074,-0.225,0.151,-0.3899,-0.4887,-0.5291,0,walk,subject_04
0.36,0.055,-0.274,0.154,-0.3923,-0.4884,-0.5354,0,walk,subject_04
0.37,0.014,-0.326,0.136,-0.3951,-0.4869,-0.5416,0,walk,subject_04
0.38,-0.025,-0.373,0.129,-0.3976,-0.4852,-0.5473,0,walk,subject_04
0.39,-0.058,-0.395,0.119,-0.3996,-0.4835,-0.5517,0,walk,subject_04
0.4,-0.1,-0.399,0.125,-0.4014,-0.4818,-0.5546,0,walk,subject_04
0.41,-0.152,-0.386,0.124,-0.4033,-0.4799,-0.5559,0,walk,subject_04
0.42,-0.211,-0.368,0.119,-0.4053,-0.4777,-0.5555,0,walk,subject_04
0.43,-0.245,-0.352,0.106,-0.4072,-0.4754,-0.5534,0,walk,subject_04
0.44,-0.288,-0.335,0.096,-0.4089,-0.4729,-0.5497,0,walk,subject_04
0.45,-0.311,-0.315,0.084,-0.4108,-0.4699,-0.5447,0,walk,subject_04
0.46,-0.196,-0.271,0.057,-0.4127,-0.4663,-0.5381,0,walk,subject_04
0.47,-0.026,-0.235,0.027,-0.4147,-0.4621,-0.5298,0,walk,subject_04
0.48,0.131,-0.196,-0.009,-0.4168,-0.4572,-0.5197,0,walk,subject_04
0.49,0.212,-0.159,-0.059,-0.4189,-0.4519,-0.5075,0,walk,subject_04
0.5,0.154,-0.132,-0.088,-0.4202,-0.4471,-0.4931,0,walk,subject_04
0.51,-0.08,-0.083,-0.076,-0.4195,-0.4435,-0.4768,0,walk,subject_04
0.52,-0.256,-0.009,-0.069,-0.4166,-0.4406,-0.4598,0,walk,subject_04
0.53,-0.281,0.052,-0.119,-0.4127,-0.4365,-0.445,0,walk,subject_04
0.54,-0.221,0.085,-0.168,-0.4103,-0.4295,-0.4332,0,walk,subject_04
0.55,-0.167,0.11,-0.184,-0.411,-0.4202,-0.4243,0,walk,subject_04
0.56,-0.125,0.139,-0.198,-0.4151,-0.4087,-0.4174,0,walk,subject_04
0.57,-0.066,0.15,-0.228,-0.4218,-0.396,-0.4115,0,walk,subject_04
0.58,-0.029,0.137,-0.269,-0.4299,-0.3831,-0.4055,0,walk,subject_04
0.59,-0.03,0.131,-0.286,-0.4377,-0.3714,-0.3987,0,walk,subject_04
0.6,-0.071,0.134,-0.269,-0.4436,-0.3619,-0.3909,0,walk,subject_04
0.61,-0.083,0.169,-0.264,-0.4464,-0.3545,-0.3821,0,walk,subject_04
0.62,-0.056,0.208,-0.284,-0.4467,-0.3491,-0.3732,0,walk,subject_04
0.63,-0.013,0.245,-0.299,-0.4456,-0.3451,-0.3648,0,walk,subject_04
0.64,0.012,0.275,-0.285,-0.444,-0.3424,-0.3574,0,walk,subject_04
0.65,0.005,0.294,-0.264,-0.4421,-0.3409,-0.3515,0,walk,subject_04
0.66,-0.015,0.295,-0.255,-0.4401,-0.3404,-0.3475,0,walk,subject_04
0.67,-0.031,0.282,-0.264,-0.4381,-0.3409,-0.3457,0,walk,subject_04
0.68,-0.047,0.274,-0.258,-0.4362,-0.3425,-0.3459,0,walk,subject_04
0.69,-0.065,0.265,-0.233,-0.4348,-0.3455,-0.3481,0,walk,subject_04
0.7,-0.126,0.251,-0.179,-0.4334,-0.35,-0.3521,0,walk,subject_04
0.71,-0.196,0.222,-0.147,-0.4312,-0.3565,-0.3579,0,walk,subject_04
0.72,-0.261,0.184,-0.131,-0.4278,-0.3654,-0.3657,0,walk,subject_04
0.73,-0.354,0.14,-0.096,-0.4234,-0.3767,-0.3755,0,walk,subject_04
0.74,-0.37,0.086,-0.037,-0.4184,-0.39,-0.3868,0,walk,subject_04
0.75,-0.224,0.037,0.026,-0.4128,-0.4047,-0.399,0,walk,subject_04
0.76,0.006,-0.015,0.079,-0.406,-0.4191,-0.4103,0,walk,subject_04
0.77,0.185,-0.051,0.089,-0.3979,-0.4327,-0.4193,0,walk,subject_04
0.78,0.244,-0.065,0.064,-0.3884,-0.4462,-0.4252,0,walk,subject_04
0.79,0.148,-0.082,0.035,-0.378,-0.4593,-0.4283,0,walk,subject_04
0.8,-0.056,-0.084,0.008,-0.368,-0.4709,-0.429,0,walk,subject_04
0.81,-0.246,-0.065,0.022,-0.3597,-0.481,-0.4286,0,walk,subject_04
0.82,-0.237,-0.027,0.055,-0.3546,-0.4882,-0.4287,0,walk,subject_04
0.83,-0.108,-0.048,0.097,-0.3538,-0.4912,-0.4303,0,walk,subject_04
0.84,0.014,-0.082,0.139,-0.3567,-0.4913,-0.4322,0,walk,subject_04
0.85,0.092,-0.135,0.182,-0.361,-0.4911,-0.4337,0,walk,subject_04
0.86,0.127,-0.2,0.193,-0.3646,-0.4912,-0.4341,0,walk,subject_04
0.87,0.126,-0.23,0.185,-0.3662,-0.4921,-0.4329,0,walk,subject_04
0.88,0.119,-0.223,0.153,-0.3654,-0.4939,-0.4301,0,walk,subject_04
0.89,0.11,-0.17,0.128,-0.3627,-0.4964,-0.426,0,walk,subject_04
0.9,0.111,-0.131,0.11,-0.3585,-0.4995,-0.4211,0,walk,subject_04
0.91,0.105,-0.13,0.113,-0.3537,-0.5027,-0.4158,0,walk,subject_04
0.92,0.086,-0.148,0.12,-0.3484,-0.5059,-0.4101,0,walk,subject_04
0.93,0.08,-0.149,0.113,-0.3427,-0.5089,-0.4038,0,walk,subject_04
0.94,0.065,-0.132,0.091,-0.3368,-0.5116,-0.3966,0,walk,subject_04
