timestamp,ax,ay,az,gx,gy,gz,label,activity,subject
0,-0.073,0.83,0.514,-0.3686,-0.1693,0.8922,0,cloth,subject_05
0.01,0.008,0.385,0.662,-0.3566,-0.1909,0.8913,0,cloth,subject_05
0.02,0.268,0.52,0.51,-0.3504,-0.195,0.887,0,cloth,subject_05
0.03,0.346,0.499,0.138,-0.3462,-0.189,0.8802,0,cloth,subject_05
0.04,0.294,0.375,0.069,-0.34,-0.1764,0.8713,0,cloth,subject_05
0.05,0.205,0.313,0.051,-0.3306,-0.1559,0.8596,0,cloth,subject_05
0.06,0.111,0.107,0.066,-0.3183,-0.1314,0.8442,0,cloth,subject_05
0.07,0.036,0.144,0.214,-0.3029,-0.106,0.8268,0,cloth,subject_05
0.08,-0.115,-0.135,0.385,-0.2875,-0.0821,0.8076,0,cloth,subject_05
0.09,-0.532,-0.273,0.561,-0.2782,-0.0678,0.7881,0,cloth,subject_05
0.1,-0.939,-0.905,0.584,-0.2848,-0.0693,0.7709,0,cloth,subject_05
0.11,-0.806,-1.33,0.244,-0.3068,-0.0814,0.7597,0,cloth,subject_05
0.12,-0.563,-1.311,0.012,-0.3313,-0.0917,0.756,0,cloth,subject_05
0.13,-0.395,-0.91,-0.168,-0.3509,-0.0925,0.7598,0,cloth,subject_05
0.14,-0.38,-0.564,-0.271,-0.3657,-0.0876,0.7704,0,cloth,subject_05
0.15,-0.348,-0.353,-0.412,-0.3781,-0.0858,0.786,0,cloth,subject_05
0.16,-0.351,-0.249,-0.283,-0.3871,-0.089,0.8039,0,cloth,subject_05
0.17,-0.41,0.014,-0.171,-0.3903,-0.0941,0.8232,0,cloth,subject_05
0.18,-0.301,0.292,-0.195,-0.3879,-0.0993,0.843,0,cloth,subject_05
0.19,-0.246,0.426,-0.197,-0.3808,-0.1023,0.8614,0,cloth,subject_05
0.2,-0.237,0.53,-0.054,-0.3716,-0.1007,0.8769,0,cloth,subject_05
0.21,-0.186,0.457,-0.056,-0.3612,-0.0965,0.8898,0,cloth,subject_05
0.22,-0.064,0.43,0.049,-0.3495,-0.0988,0.9019,0,cloth,subject_05
0.23,0.104,0.775,0.241,-0.3399,-0.1064,0.9095,0,cloth,subject_05
0.24,0.079,0.725,0.384,-0.3333,-0.1081,0.9133,0,cloth,subject_05
0.25,0.084,0.842,0.381,-0.3337,-0.1073,0.9127,0,cloth,subject_05
0.26,0.241,0.849,0.314,-0.3406,-0.1091,0.9073,0,cloth,subject_05
0.27,0.346,0.596,0.154,-0.3517,-0.116,0.8976,0,cloth,subject_05
0.28,0.427,0.392,-0.004,-0.3646,-0.1274,0.8847,0,cloth,subject_05
0.29,0.43,0.229,-0.074,-0.375,-0.1388,0.8704,0,cloth,subject_05
0.3,0.352,0.18,-0.042,-0.3804,-0.1477,0.8564,0,cloth,subject_05
0.31,0.397,0.09,-0.043,-0.3808,-0.1597,0.8432,0,cloth,subject_05
0.32,0.277,0.013,0.042,-0.3762,-0.1767,0.8311,0,cloth,subject_05
