timestamp,ax,ay,az,gx,gy,gz,label,activity,subject
0,-0.037,-0.132,-0.265,-0.3306,-0.4883,0.7009,0,shoe,subject_05
0.01,0.031,-0.307,-0.308,-0.3448,-0.5264,0.6814,0,shoe,subject_05
0.02,0.101,-0.523,-0.387,-0.3562,-0.5581,0.6636,0,shoe,subject_05
0.03,0.157,-0.51,-0.249,-0.3574,-0.5727,0.658,0,shoe,subject_05
0.04,0.106,0.027,0.377,-0.347,-0.5652,0.6703,0,shoe,subject_05
0.05,0.086,0.192,0.225,-0.332,-0.5431,0.6912,0,shoe,subject_05
0.06,0.106,0.331,-0.058,-0.3211,-0.5256,0.7085,0,shoe,subject_05
0.07,0.04,0.151,-0.039,-0.314,-0.5214,0.7172,0,shoe,subject_05
0.08,-0.428,-0.019,0.77,-0.3053,-0.5184,0.7245,0,shoe,subject_05
0.09,-0.122,-0.019,0.44,-0.3059,-0.5031,0.7292,0,shoe,subject_05
0.1,-0.132,0.127,0.233,-0.3168,-0.5052,0.7228,0,shoe,subject_05
0.11,-0.124,-0.244,-0.037,-0.3267,-0.5104,0.7139,0,shoe,subject_05
0.12,0.018,0.036,0.077,-0.3327,-0.5082,0.7108,0,shoe,subject_05
0.13,-0.121,0.209,0.375,-0.3404,-0.5053,0.7076,0,shoe,subject_05
0.14,-0.05,0.132,0.147,-0.3506,-0.507,0.6995,0,shoe,subject_05
0.15,-0.042,0.106,0.083,-0.3611,-0.5088,0.69,0,shoe,subject_05
0.16,-0.032,0.036,0.021,-0.3723,-0.5105,0.6789,0,shoe,subject_05
0.17,-0.027,0.055,0.015,-0.3826,-0.5094,0.6685,0,shoe,subject_05
0.18,-0.058,-0.006,-0.124,-0.3918,-0.5064,0.6587,0,shoe,subject_05
0.19,-0.053,-0.01,-0.215,-0.3994,-0.501,0.6504,0,shoe,subject_05
0.2,-0.054,0.132,-0.1,-0.4061,-0.4951,0.6422,0,shoe,subject_05
0.21,-0.092,0.091,-0.196,-0.4135,-0.4908,0.6327,0,shoe,subject_05
0.22,-0.133,-0.1,-0.386,-0.4214,-0.488,0.623,0,shoe,subject_05
0.23,-0.182,-0.167,-0.191,-0.4284,-0.4847,0.6147,0,shoe,subject_05
0.24,-0.168,-0.003,-0.166,-0.4347,-0.48,0.6076,0,shoe,subject_05
0.25,-0.089,-0.109,-0.41,-0.4428,-0.4771,0.5999,0,shoe,subject_05
0.26,0,-0.157,-0.408,-0.4496,-0.4751,0.5938,0,shoe,subject_05
0.27,0.039,-0.11,-0.363,-0.4529,-0.4716,0.5919,0,shoe,subject_05
0.28,0.092,-0.037,-0.387,-0.4542,-0.4695,0.5926,0,shoe,subject_05
0.29,0.096,-0.057,-0.381,-0.4527,-0.4696,0.5953,0,shoe,subject_05
0.3,0.031,-0.067,-0.282,-0.4479,-0.4709,0.6008,0,shoe,subject_05
0.31,-0.029,-0.098,-0.176,-0.4407,-0.4718,0.6088,0,shoe,subject_05
0.32,-0.085,-0.069,-0.072,-0.4343,-0.4741,0.6163,0,shoe,subject_05
0.33,-0.071,-0.007,-0.1,-0.4304,-0.4799,0.6215,0,shoe,subject_05
0.34,-0.055,0.059,-0.081,-0.429,-0.4893,0.624,0,shoe,subject_05
0.35,-0.077,0.011,-0.003,-0.4289,-0.5005,0.6249,0,shoe,subject_05
0.36,-0.013,0.014,-0.024,-0.4307,-0.5126,0.6245,0,shoe,subject_05
0.37,-0.015,0.103,0.026,-0.4344,-0.5268,0.6216,0,shoe,subject_05
0.38,-0.041,0.133,0.049,-0.4396,-0.545,0.6142,0,shoe,subject_05
0.39,-0.007,0.062,-0.034,-0.4463,-0.5663,0.6031,0,shoe,subject_05
0.4,0.018,-0.074,-0.1,-0.4517,-0.5869,0.592,0,shoe,subject_05
0.41,-0.026,-0.16,0.008,-0.4515,-0.6012,0.5864,0,shoe,subject_05
0.42,-0.054,-0.043,0.139,-0.4469,-0.6076,0.5882,0,shoe,subject_05
0.43,0.019,-0.082,0.265,-0.4404,-0.6083,0.5945,0,shoe,subject_05
0.44,0.087,-0.102,0.387,-0.4335,-0.6013,0.6055,0,shoe,subject_05
0.45,0.148,0.001,0.327,-0.426,-0.586,0.6207,0,shoe,subject_05
