timestamp,ax,ay,az,gx,gy,gz,label,activity,subject
0,0.001,-0.003,-0.011,-0.5406,0.2308,-0.7973,0,bed,subject_06
0.01,0.006,0.006,-0.001,-0.5411,0.2309,-0.7969,0,bed,subject_06
0.02,0.005,0.005,0.002,-0.5415,0.2309,-0.7966,0,bed,subject_06
0.03,0.007,0.005,0.003,-0.5419,0.2311,-0.7963,0,bed,subject_06
0.04,0.01,0.003,0.007,-0.5422,0.2312,-0.7961,0,bed,subject_06
0.05,0.01,0.007,0.009,-0.5423,0.2311,-0.7959,0,bed,subject_06
0.06,0.008,0.003,0.005,-0.5425,0.2313,-0.7957,0,bed,subject_06
0.07,0.008,-0.002,0.001,-0.5426,0.2316,-0.7955,0,bed,subject_06
0.08,0.005,-0.007,0.003,-0.5426,0.2319,-0.7953,0,bed,subject_06
0.09,0.006,-0.001,0.005,-0.5427,0.2319,-0.7952,0,bed,subject_06
0.1,0.001,-0.001,0.005,-0.5428,0.2319,-0.7951,0,bed,subject_06
0.11,0.004,-0.003,0.007,-0.5429,0.232,-0.795,0,bed,subject_06
0.12,0,-0.001,0.001,-0.5429,0.2321,-0.795,0,bed,subject_06
0.13,0.004,0,0.007,-0.5429,0.2323,-0.7949,0,bed,subject_06
0.14,0.008,-0.001,0.003,-0.5428,0.2324,-0.7949,0,bed,subject_06
0.15,0.005,0,0.001,-0.5427,0.2326,-0.7949,0,bed,subject_06
0.16,0.006,0.003,-0.002,-0.5426,0.2328,-0.7949,0,bed,subject_06
0.17,0.005,0,-0.003,-0.5426,0.2329,-0.7948,0,bed,subject_06
0.18,0.006,0.003,0.001,-0.5426,0.2329,-0.7948,0,bed,subject_06
0.19,0.004,0,0.001,-0.5426,0.2329,-0.7948,0,bed,subject_06
0.2,0.006,-0.003,0,-0.5427,0.233,-0.7947,0,bed,subject_06
0.21,0.006,-0.005,0,-0.5427,0.233,-0.7947,0,bed,subject_06
0.22,0.008,-0.004,0,-0.5428,0.2329,-0.7947,0,bed,subject_06
0.23,0.012,-0.002,0.003,-0.5428,0.2327,-0.7948,0,bed,subject_06
0.24,0.011,0,0.003,-0.5427,0.2325,-0.7949,0,bed,subject_06
0.25,0.012,-0.002,0.004,-0.5426,0.2325,-0.795,0,bed,subject_06
0.26,0.011,-0.008,0.007,-0.5424,0.2324,-0.7952,0,bed,subject_06
0.27,0.007,-0.004,-0.001,-0.5422,0.2323,-0.7954,0,bed,subject_06
0.28,0.006,-0.01,-0.004,-0.542,0.2324,-0.7955,0,bed,subject_06
0.29,0.002,-0.01,-0.002,-0.5417,0.2325,-0.7957,0,bed,subject_06
0.3,0.001,-0.006,-0.004,-0.5414,0.2325,-0.796,0,bed,subject_06
0.31,0,-0.003,-0.009,-0.5411,0.2326,-0.7962,0,bed,subject_06
0.32,-0.002,-0.003,-0.01,-0.5408,0.2328,-0.7965,0,bed,subject_06
