timestamp,ax,ay,az,gx,gy,gz,label,activity,subject
0,0.028,-0.071,0.021,0.4897,-0.3512,0.7383,0,stair,subject_06
0.01,0.078,-0.085,-0.001,0.4898,-0.3522,0.737,0,stair,subject_06
0.02,0.117,-0.096,-0.019,0.4895,-0.354,0.7358,0,stair,subject_06
0.03,0.14,-0.101,-0.029,0.4891,-0.356,0.7348,0,stair,subject_06
0.04,0.101,-0.094,-0.037,0.489,-0.3575,0.734,0,stair,subject_06
0.05,0.012,-0.13,-0.034,0.4895,-0.3583,0.733,0,stair,subject_06
0.06,-0.057,-0.14,-0.025,0.4908,-0.3585,0.732,0,stair,subject_06
0.07,-0.077,-0.111,-0.025,0.492,-0.3589,0.7305,0,stair,subject_06
0.08,-0.071,-0.136,-0.031,0.4924,-0.3612,0.7281,0,stair,subject_06
0.09,-0.055,-0.159,-0.038,0.4919,-0.3649,0.7256,0,stair,subject_06
0.1,-0.038,-0.168,-0.032,0.4911,-0.3689,0.7234,0,stair,subject_06
0.11,-0.019,-0.142,-0.036,0.49,-0.3728,0.7221,0,stair,subject_06
0.12,-0.005,-0.134,-0.032,0.4885,-0.3766,0.7218,0,stair,subject_06
0.13,0.006,-0.099,-0.01,0.4873,-0.3802,0.7225,0,stair,subject_06
0.14,0.005,-0.067,-0.004,0.4862,-0.3829,0.7239,0,stair,subject_06
0.15,-0.001,-0.032,0.015,0.4852,-0.3851,0.7256,0,stair,subject_06
0.16,-0.005,-0.008,0.026,0.4838,-0.387,0.7274,0,stair,subject_06
0.17,-0.007,0.007,0.035,0.4821,-0.3888,0.729,0,stair,subject_06
0.18,-0.012,0.013,0.038,0.48,-0.3909,0.7302,0,stair,subject_06
0.19,-0.005,0.02,0.039,0.4774,-0.3934,0.7311,0,stair,subject_06
0.2,-0.004,0.013,0.028,0.4744,-0.3964,0.7317,0,stair,subject_06
0.21,0,0.025,0.033,0.4709,-0.3999,0.7321,0,stair,subject_06
0.22,-0.001,0.018,0.03,0.4672,-0.4037,0.7322,0,stair,subject_06
0.23,-0.015,0.011,0.026,0.4633,-0.4075,0.7321,0,stair,subject_06
0.24,-0.057,0.004,0.033,0.4599,-0.4105,0.732,0,stair,subject_06
0.25,-0.082,0.006,0.033,0.4573,-0.4122,0.7322,0,stair,subject_06
0.26,-0.09,0.016,0.027,0.4556,-0.4122,0.7326,0,stair,subject_06
0.27,-0.086,0.031,0.034,0.4545,-0.4115,0.7327,0,stair,subject_06
0.28,-0.102,0.009,0.028,0.4537,-0.4106,0.7323,0,stair,subject_06
