timestamp,ax,ay,az,gx,gy,gz,label,activity,subject
0,-0.003,-0.001,-0.002,0.2361,-0.0101,-0.9675,1,fall1,subject_07
0.01,-0.002,-0.001,-0.001,0.2361,-0.0101,-0.9675,1,fall1,subject_07
0.02,0,-0.002,0.005,0.2361,-0.0101,-0.9675,1,fall1,subject_07
0.03,-0.001,0,0.004,0.236,-0.01,-0.9675,1,fall1,subject_07
0.04,-0.001,0.003,0.001,0.236,-0.0101,-0.9675,1,fall1,subject_07
0.05,0.002,0.007,0,0.236,-0.0101,-0.9675,1,fall1,subject_07
0.06,-0.003,0.004,-0.002,0.236,-0.0102,-0.9675,1,fall1,subject_07
0.07,-0.004,0.005,-0.011,0.236,-0.0102,-0.9675,1,fall1,subject_07
0.08,-0.004,0.007,-0.006,0.236,-0.0103,-0.9675,1,fall1,subject_07
0.09,-0.003,0.004,0.001,0.236,-0.0104,-0.9675,1,fall1,subject_07
0.1,0,0.003,0,0.236,-0.0102,-0.9675,1,fall1,subject_07
0.11,0.001,0,0.001,0.236,-0.0102,-0.9675,1,fall1,subject_07
0.12,0.001,-0.001,0.004,0.236,-0.0102,-0.9675,1,fall1,subject_07
0.13,-0.001,0,-0.001,0.236,-0.0102,-0.9675,1,fall1,subject_07
0.14,-0.005,0.001,-0.001,0.2359,-0.0101,-0.9675,1,fall1,subject_07
0.15,-0.001,0,-0.001,0.2358,-0.0098,-0.9676,1,fall1,subject_07
0.16,0.001,-0.009,0.003,0.2358,-0.0095,-0.9676,1,fall1,subject_07
0.17,-0.001,-0.008,0.001,0.2358,-0.0092,-0.9676,1,fall1,subject_07
0.18,0,0,-0.006,0.2358,-0.0091,-0.9676,1,fall1,subject_07
0.19,-0.002,0.005,-0.003,0.2358,-0.0091,-0.9676,1,fall1,subject_07
0.2,0.001,0.009,-0.003,0.2358,-0.0092,-0.9676,1,fall1,subject_07
0.21,0,0.008,-0.004,0.2358,-0.0092,-0.9676,1,fall1,subject_07
0.22,0.001,0.002,-0.002,0.2357,-0.009,-0.9676,1,fall1,subject_07
0.23,-0.001,0.003,0.003,0.2356,-0.009,-0.9676,1,fall1,subject_07
0.24,-0.005,-0.002,0.001,0.2355,-0.0088,-0.9677,1,fall1,subject_07
0.25,-0.002,-0.003,-0.001,0.2355,-0.0087,-0.9677,1,fall1,subject_07
0.26,-0.002,0.001,0.001,0.2354,-0.0084,-0.9677,1,fall1,subject_07
0.27,0,0,0,0.2354,-0.008,-0.9677,1,fall1,subject_07
0.28,-0.001,-0.002,-0.002,0.2353,-0.0076,-0.9677,1,fall1,subject_07
0.29,-0.002,-0.007,0,0.2352,-0.0072,-0.9678,1,fall1,subject_07
0.3,-0.001,-0.005,-0.001,0.2351,-0.0071,-0.9678,1,fall1,subject_07
