timestamp,ax,ay,az,gx,gy,gz,label,activity,subject
0,0.006,-0.008,-0.005,-0.0484,-0.6415,0.6756,0,zip,subject_08
0.01,0.008,-0.013,0.001,-0.0488,-0.6424,0.6746,0,zip,subject_08
0.02,0.028,0.006,0.007,-0.0491,-0.6434,0.6738,0,zip,subject_08
0.03,0.033,0.012,0.006,-0.0492,-0.6446,0.6729,0,zip,subject_08
0.04,0.049,0.005,0.002,-0.049,-0.646,0.6718,0,zip,subject_08
0.05,0.028,-0.019,-0.015,-0.0487,-0.6475,0.6709,0,zip,subject_08
0.06,0.012,0.001,-0.014,-0.0479,-0.6484,0.6705,0,zip,subject_08
0.07,-0.012,0.007,-0.011,-0.0469,-0.6489,0.6704,0,zip,subject_08
0.08,-0.045,-0.002,-0.009,-0.0456,-0.649,0.6706,0,zip,subject_08
0.09,-0.004,-0.01,0.002,-0.0445,-0.6482,0.6713,0,zip,subject_08
0.1,0.01,-0.598,-0.272,-0.0429,-0.6461,0.6737,0,zip,subject_08
0.11,0,0.254,-0.076,-0.0352,-0.6336,0.6855,0,zip,subject_08
0.12,-0.021,-0.035,0.074,-0.0273,-0.621,0.6967,0,zip,subject_08
0.13,-0.032,0.047,0.134,-0.0215,-0.6086,0.7076,0,zip,subject_08
0.14,-0.056,-0.004,0.098,-0.0176,-0.5976,0.7166,0,zip,subject_08
0.15,-0.055,-0.064,0.052,-0.0149,-0.5873,0.7248,0,zip,subject_08
0.16,-0.058,-0.019,0.076,-0.012,-0.5752,0.7339,0,zip,subject_08
0.17,-0.058,-0.013,0.054,-0.0096,-0.5627,0.743,0,zip,subject_08
0.18,-0.023,0.101,0.025,-0.0073,-0.5498,0.7522,0,zip,subject_08
0.19,-0.018,0.124,-0.005,-0.0054,-0.5387,0.7596,0,zip,subject_08
0.2,-0.021,0.071,0.01,-0.0045,-0.5311,0.7647,0,zip,subject_08
0.21,-0.014,0.097,0.009,-0.0047,-0.5262,0.7679,0,zip,subject_08
0.22,0.012,0.128,-0.005,-0.0058,-0.5238,0.7693,0,zip,subject_08
0.23,0.045,0.092,-0.03,-0.008,-0.5235,0.7692,0,zip,subject_08
0.24,0.078,0.101,-0.084,-0.0112,-0.5258,0.7676,0,zip,subject_08
0.25,0.086,0.072,-0.125,-0.0153,-0.5321,0.7636,0,zip,subject_08
