timestamp,ax,ay,az,gx,gy,gz,label,activity,subject
0,0.533,-0.221,-0.111,0.2221,-0.5651,0.0348,0,wash,subject_09
0.01,0.636,-0.362,0.207,0.2451,-0.5559,0.0394,0,wash,subject_09
0.02,0.639,-0.432,0.438,0.2598,-0.5475,0.0414,0,wash,subject_09
0.03,0.637,-0.407,0.388,0.2669,-0.5424,0.0387,0,wash,subject_09
0.04,0.599,-0.365,0.311,0.268,-0.5416,0.0306,0,wash,subject_09
0.05,0.453,-0.441,0.335,0.2614,-0.5439,0.0197,0,wash,subject_09
0.06,0.264,-0.386,0.309,0.2476,-0.5502,0.0071,0,wash,subject_09
0.07,0.089,-0.422,0.277,0.2317,-0.5594,-0.0093,0,wash,subject_09
0.08,-0.112,-0.388,0.213,0.2173,-0.5705,-0.0306,0,wash,subject_09
0.09,-0.282,-0.39,0.118,0.2056,-0.5821,-0.0557,0,wash,subject_09
0.1,-0.471,-0.376,0.015,0.194,-0.5933,-0.0803,0,wash,subject_09
0.11,-0.574,-0.27,-0.098,0.179,-0.6032,-0.1003,0,wash,subject_09
0.12,-0.619,-0.204,-0.143,0.1611,-0.6115,-0.1149,0,wash,subject_09
0.13,-0.583,-0.104,-0.155,0.1409,-0.618,-0.1231,0,wash,subject_09
0.14,-0.545,0.029,-0.153,0.1197,-0.6231,-0.125,0,wash,subject_09
0.15,-0.499,0.082,-0.164,0.0998,-0.6262,-0.1223,0,wash,subject_09
0.16,-0.464,0.222,-0.171,0.0833,-0.6272,-0.1165,0,wash,subject_09
0.17,-0.325,0.344,-0.172,0.0714,-0.6264,-0.1077,0,wash,subject_09
0.18,-0.196,0.413,-0.239,0.0651,-0.6246,-0.0965,0,wash,subject_09
0.19,-0.194,0.431,-0.294,0.0644,-0.6218,-0.0831,0,wash,subject_09
0.2,-0.229,0.409,-0.34,0.0695,-0.6174,-0.0692,0,wash,subject_09
0.21,-0.191,0.417,-0.376,0.0807,-0.6107,-0.0544,0,wash,subject_09
0.22,-0.057,0.295,-0.264,0.0965,-0.6012,-0.0385,0,wash,subject_09
0.23,0.002,0.138,-0.127,0.1148,-0.5898,-0.0211,0,wash,subject_09
0.24,0.064,0.107,-0.061,0.1347,-0.5776,-0.004,0,wash,subject_09
0.25,0.192,0.051,-0.041,0.1567,-0.5661,0.0099,0,wash,subject_09
0.26,0.404,-0.063,0.165,0.1801,-0.555,0.02,0,wash,subject_09
0.27,0.554,-0.287,0.476,0.2006,-0.544,0.0272,0,wash,subject_09
0.28,0.638,-0.418,0.55,0.2145,-0.5366,0.0326,0,wash,subject_09
0.29,0.689,-0.19,0.4,0.2214,-0.5329,0.0339,0,wash,subject_09
0.3,0.641,-0.217,0.31,0.2267,-0.5334,0.0274,0,wash,subject_09
0.31,0.462,-0.437,0.342,0.2305,-0.5367,0.0151,0,wash,subject_09
0.32,0.278,-0.579,0.265,0.2283,-0.5433,-0.0001,0,wash,subject_09
0.33,0.108,-0.434,0.037,0.2205,-0.5526,-0.0175,0,wash,subject_09
0.34,-0.073,-0.419,-0.047,0.2102,-0.5631,-0.0382,0,wash,subject_09
0.35,-0.333,-0.376,-0.012,0.1945,-0.5737,-0.0572,0,wash,subject_09
0.36,-0.492,-0.286,-0.031,0.1717,-0.5846,-0.0706,0,wash,subject_09
0.37,-0.538,-0.198,-0.073,0.1456,-0.596,-0.0797,0,wash,subject_09
0.38,-0.554,-0.101,-0.06,0.1212,-0.6071,-0.0879,0,wash,subject_09
0.39,-0.591,-0.047,-0.045,0.1013,-0.6174,-0.0956,0,wash,subject_09
0.4,-0.567,0.022,-0.081,0.0861,-0.6261,-0.1026,0,wash,subject_09
0.41,-0.499,0.134,-0.173,0.075,-0.6337,-0.1078,0,wash,subject_09
