timestamp,ax,ay,az,gx,gy,gz,label,activity,subject
0,0.004,-0.001,0.025,0.0073,-0.3502,0.8915,0,write,subject_11
0.01,0.01,0.008,0.009,0.0074,-0.3506,0.8914,0,write,subject_11
0.02,0.022,0.01,-0.03,0.0065,-0.3531,0.8907,0,write,subject_11
0.03,0.018,-0.063,-0.087,0.0057,-0.3575,0.8896,0,write,subject_11
0.04,0.01,-0.042,-0.067,0.0058,-0.3617,0.8889,0,write,subject_11
0.05,-0.007,-0.005,-0.052,0.0069,-0.3644,0.8888,0,write,subject_11
0.06,-0.012,0.015,-0.024,0.0087,-0.3664,0.8891,0,write,subject_11
0.07,-0.014,0.044,0.032,0.0106,-0.367,0.8897,0,write,subject_11
0.08,-0.019,0.081,0.055,0.0122,-0.3657,0.8906,0,write,subject_11
0.09,-0.019,0.08,0.075,0.0137,-0.3633,0.8917,0,write,subject_11
0.1,-0.021,0.093,0.1,0.0144,-0.3606,0.8926,0,write,subject_11
0.11,-0.023,0.061,0.09,0.0141,-0.3587,0.893,0,write,subject_11
0.12,-0.009,0.012,0.048,0.0126,-0.3579,0.8928,0,write,subject_11
0.13,-0.008,-0.016,-0.002,0.0104,-0.3575,0.8924,0,write,subject_11
0.14,-0.007,-0.036,-0.026,0.0081,-0.3566,0.892,0,write,subject_11
0.15,-0.005,-0.017,-0.016,0.006,-0.3547,0.8921,0,write,subject_11
0.16,0.012,-0.032,-0.052,0.004,-0.3527,0.8922,0,write,subject_11
0.17,0.016,-0.006,-0.079,0.0024,-0.3503,0.8924,0,write,subject_11
0.18,0.023,0.048,-0.046,0.0017,-0.3464,0.893,0,write,subject_11
0.19,0.008,0.036,-0.014,0.0016,-0.3429,0.8937,0,write,subject_11
0.2,0.01,0.012,0,0.0012,-0.3408,0.8938,0,write,subject_11
0.21,0.006,-0.009,0.015,0.0005,-0.3402,0.8934,0,write,subject_11
0.22,0.021,0.025,-0.011,-0.0003,-0.3408,0.8927,0,write,subject_11
0.23,0.029,0.018,-0.083,-0.0012,-0.3427,0.8916,0,write,subject_11
0.24,0.016,-0.048,-0.051,-0.0019,-0.3456,0.8903,0,write,subject_11
0.25,0.004,-0.038,-0.025,-0.0023,-0.3481,0.8894,0,write,subject_11
0.26,0.005,-0.009,-0.015,-0.0023,-0.3499,0.8889,0,write,subject_11
0.27,0.013,-0.015,-0.02,-0.0026,-0.3511,0.8885,0,write,subject_11
0.28,0.019,0.003,-0.028,-0.0027,-0.3522,0.8883,0,write,subject_11
0.29,0.008,0.006,0,-0.0025,-0.3531,0.8881,0,write,subject_11
0.3,0.005,0.012,-0.009,-0.0023,-0.3542,0.8879,0,write,subject_11
0.31,0.02,0.003,-0.042,-0.0022,-0.3564,0.8874,0,write,subject_11
0.32,0.052,0.048,-0.114,-0.0021,-0.36,0.8866,0,write,subject_11
0.33,0.017,-0.04,-0.067,-0.0009,-0.3645,0.886,0,write,subject_11
0.34,0.007,-0.038,-0.051,0.0012,-0.3679,0.886,0,write,subject_11
0.35,-0.01,-0.016,-0.023,0.0042,-0.3689,0.8867,0,write,subject_11
0.36,-0.013,0.023,-0.003,0.0075,-0.3677,0.8882,0,write,subject_11
0.37,-0.024,0.023,0.066,0.0104,-0.3655,0.8899,0,write,subject_11
0.38,-0.007,0.046,0.071,0.0122,-0.3634,0.8913,0,write,subject_11
0.39,0.006,0.026,0.043,0.0129,-0.3624,0.8921,0,write,subject_11
0.4,0,0.022,0.037,0.0129,-0.362,0.8926,0,write,subject_11
0.41,0.007,0.002,0.043,0.0125,-0.3621,0.8928,0,write,subject_11
0.42,0.029,0.012,-0.034,0.012,-0.3625,0.8927,0,write,subject_11
0.43,0.017,-0.002,-0.053,0.0118,-0.3631,0.8926,0,write,subject_11
0.44,0,-0.003,-0.017,0.0122,-0.3631,0.8926,0,write,subject_11
0.45,-0.003,0.028,-0.005,0.013,-0.3622,0.8929,0,write,subject_11
0.46,-0.017,0.025,0,0.014,-0.3607,0.8934,0,write,subject_11
0.47,-0.003,0.038,0.002,0.0146,-0.3591,0.8939,0,write,subject_11
0.48,-0.008,0.035,-0.03,0.0154,-0.3582,0.8941,0,write,subject_11
0.49,-0.019,0.012,-0.028,0.0162,-0.3574,0.8942,0,write,subject_11
0.5,-0.023,0.01,0.002,0.0171,-0.3564,0.8945,0,write,subject_11
0.51,-0.016,0.019,0.025,0.018,-0.3548,0.8949,0,write,subject_11
0.52,-0.006,0.025,0.038,0.0186,-0.3529,0.8954,0,write,subject_11
0.53,-0.001,0.058,0.058,0.0187,-0.3506,0.8958,0,write,subject_11
0.54,-0.005,0.053,0.042,0.0184,-0.349,0.8957,0,write,subject_11
0.55,0.048,0.111,-0.12,0.0178,-0.3479,0.8953,0,write,subject_11
0.56,-0.004,-0.071,-0.119,0.018,-0.348,0.8945,0,write,subject_11
0.57,-0.016,-0.089,0.015,0.0189,-0.3467,0.8946,0,write,subject_11
0.58,0,-0.046,0.04,0.0196,-0.3452,0.8949,0,write,subject_11
0.59,0.009,-0.038,0.02,0.0193,-0.3455,0.8948,0,write,subject_11
0.6,0.016,-0.01,-0.02,0.0186,-0.3458,0.8947,0,write,subject_11
0.61,0.013,-0.004,-0.044,0.018,-0.3452,0.895,0,write,subject_11
0.62,0.011,0.01,-0.047,0.0177,-0.3448,0.8954,0,write,subject_11
0.63,0.003,0.013,-0.043,0.0178,-0.3446,0.8957,0,write,subject_11
0.64,0.006,0.013,-0.038,0.0182,-0.3445,0.896,0,write,subject_11
0.65,-0.001,0.003,-0.011,0.0187,-0.344,0.8965,0,write,subject_11
0.66,0.004,0.014,0,0.0195,-0.3437,0.897,0,write,subject_11
0.67,0.001,0.001,-0.016,0.0203,-0.3436,0.8973,0,write,subject_11
0.68,0.001,-0.004,-0.023,0.021,-0.3442,0.8974,0,write,subject_11
0.69,0.002,-0.006,-0.003,0.0218,-0.345,0.8974,0,write,subject_11
0.7,-0.003,0.002,0.039,0.0226,-0.3459,0.8975,0,write,subject_11
0.71,0.005,0.045,0.025,0.023,-0.3473,0.8973,0,write,subject_11
0.72,0.014,0.065,-0.002,0.0232,-0.3503,0.8966,0,write,subject_11
0.73,-0.001,0.053,0.024,0.0229,-0.3555,0.8949,0,write,subject_11
0.74,0.011,0.032,-0.029,0.022,-0.3619,0.8927,0,write,subject_11
0.75,0.023,0.033,-0.116,0.0215,-0.3673,0.8906,0,write,subject_11
0.76,-0.016,-0.044,-0.055,0.0225,-0.3692,0.8899,0,write,subject_11
0.77,-0.013,-0.005,0.05,0.0238,-0.3677,0.8905,0,write,subject_11
0.78,-0.013,0.015,0.06,0.0245,-0.3664,0.891,0,write,subject_11
0.79,-0.013,-0.014,0.06,0.0241,-0.3662,0.8911,0,write,subject_11
0.8,-0.001,-0.013,0.042,0.0229,-0.3662,0.8911,0,write,subject_11
0.81,0.008,0.008,-0.006,0.0212,-0.3658,0.8912,0,write,subject_11
0.82,0.007,0.006,-0.028,0.0196,-0.3658,0.8911,0,write,subject_11
0.83,0.001,0.052,-0.012,0.0183,-0.3653,0.8911,0,write,subject_11
0.84,-0.002,0.052,0.001,0.0173,-0.3647,0.891,0,write,subject_11
0.85,0.001,0.029,-0.005,0.0161,-0.3644,0.8907,0,write,subject_11
0.86,0.018,0.023,-0.046,0.0151,-0.3645,0.8902,0,write,subject_11
0.87,0.013,-0.007,-0.066,0.0142,-0.3652,0.8895,0,write,subject_11
0.88,0.024,-0.012,-0.083,0.0137,-0.3658,0.8889,0,write,subject_11
0.89,0.006,-0.08,-0.072,0.0141,-0.3665,0.8885,0,write,subject_11
0.9,0.011,-0.061,-0.03,0.0148,-0.3659,0.8888,0,write,subject_11
0.91,0.001,-0.037,0.013,0.0168,-0.364,0.8903,0,write,subject_11
0.92,-0.012,0.012,0.038,0.0176,-0.3618,0.8914,0,write,subject_11
0.93,-0.005,0.069,0.022,0.0184,-0.3582,0.8929,0,write,subject_11
0.94,-0.009,0.086,0.039,0.0192,-0.3541,0.8944,0,write,subject_11
0.95,-0.007,0.074,0.028,0.0193,-0.3506,0.8955,0,write,subject_11
0.96,-0.005,0.029,-0.006,0.0188,-0.3487,0.8959,0,write,subject_11
0.97,0.008,0.021,-0.036,0.0183,-0.3474,0.8961,0,write,subject_11
0.98,0.013,0.001,-0.059,0.018,-0.3462,0.8962,0,write,subject_11
0.99,0.023,-0.006,-0.051,0.018,-0.3451,0.8964,0,write,subject_11
1,0.019,-0.028,-0.031,0.0183,-0.3452,0.8964,0,write,subject_11
1.01,0.013,-0.034,-0.013,0.0186,-0.3466,0.896,0,write,subject_11
1.02,0.043,0.022,-0.064,0.0189,-0.3493,0.8955,0,write,subject_11
1.03,0.022,0.035,-0.068,0.0192,-0.3542,0.8943,0,write,subject_11
1.04,-0.027,-0.041,0.053,0.02,-0.3603,0.8929,0,write,subject_11
1.05,-0.031,-0.062,0.072,0.0202,-0.3667,0.8915,0,write,subject_11
1.06,-0.024,-0.021,0.022,0.02,-0.371,0.8905,0,write,subject_11
1.07,-0.011,0.056,-0.027,0.0198,-0.3725,0.8904,0,write,subject_11
1.08,-0.008,0.041,-0.006,0.0195,-0.3729,0.8906,0,write,subject_11
1.09,-0.012,0.055,0.038,0.019,-0.3733,0.8907,0,write,subject_11
1.1,-0.013,0.062,0.059,0.0181,-0.3729,0.8909,0,write,subject_11
1.11,0.002,0.07,0.025,0.0167,-0.3721,0.891,0,write,subject_11
1.12,0.017,0.019,-0.04,0.015,-0.3712,0.891,0,write,subject_11
1.13,0.013,-0.024,-0.067,0.0135,-0.3702,0.891,0,write,subject_11
1.14,0.003,-0.023,-0.019,0.0127,-0.368,0.8915,0,write,subject_11
1.15,0.023,-0.001,-0.058,0.0104,-0.347,0.8971,0,write,subject_11
1.16,0.018,-0.006,-0.035,0.0114,-0.3455,0.8976,0,write,subject_11
1.17,0.014,-0.01,-0.026,0.0126,-0.3453,0.8978,0,write,subject_11
1.18,0.015,-0.014,-0.037,0.0137,-0.346,0.8979,0,write,subject_11
1.19,-0.024,0.005,0.023,0.0182,-0.3532,0.8968,0,write,subject_11
1.2,-0.023,0.011,0.026,0.0196,-0.3557,0.8964,0,write,subject_11
1.21,-0.008,-0.004,0.001,0.0206,-0.3579,0.8961,0,write,subject_11
1.22,-0.007,0.025,0.006,0.0213,-0.3597,0.8958,0,write,subject_11
1.23,-0.01,0.042,0.051,0.0216,-0.3608,0.8955,0,write,subject_11
1.24,-0.017,0.054,0.067,0.0213,-0.3617,0.8952,0,write,subject_11
1.25,-0.009,0.016,0.021,0.0201,-0.3628,0.8947,0,write,subject_11
1.26,-0.001,0.041,0.003,0.0187,-0.3646,0.8939,0,write,subject_11
1.27,0.004,0.005,-0.018,0.0167,-0.3668,0.8929,0,write,subject_11
1.28,0.006,0.015,0.002,0.0146,-0.3701,0.8916,0,write,subject_11
1.29,0.005,-0.036,-0.026,0.0124,-0.3736,0.8902,0,write,subject_11
1.3,0.016,-0.068,-0.069,0.0108,-0.3765,0.8891,0,write,subject_11
1.31,0.022,0.038,-0.053,0.0099,-0.378,0.8886,0,write,subject_11
1.32,0.014,-0.022,-0.053,0.0094,-0.3788,0.8884,0,write,subject_11
1.33,0.021,-0.018,-0.095,0.0094,-0.3789,0.8885,0,write,subject_11
1.34,0.005,-0.009,-0.074,0.0105,-0.3783,0.889,0,write,subject_11
1.35,0,0.015,0.041,0.0123,-0.3757,0.8903,0,write,subject_11
1.36,-0.005,0.043,0.065,0.0139,-0.3724,0.8917,0,write,subject_11
1.37,-0.007,0.03,0.032,0.0149,-0.3697,0.8928,0,write,subject_11
1.38,-0.001,0.036,0.034,0.0154,-0.3676,0.8936,0,write,subject_11
1.39,-0.016,0.035,0.076,0.0153,-0.3658,0.894,0,write,subject_11
1.4,-0.009,0.06,0.035,0.0147,-0.3641,0.8943,0,write,subject_11
1.41,-0.006,0,-0.027,0.0135,-0.3631,0.8942,0,write,subject_11
1.42,0,0.002,-0.055,0.0124,-0.3622,0.894,0,write,subject_11
1.43,0.004,0.012,-0.039,0.0114,-0.3605,0.894,0,write,subject_11
1.44,-0.005,-0.016,-0.005,0.011,-0.3588,0.8941,0,write,subject_11
1.45,-0.003,-0.013,-0.002,0.0106,-0.3563,0.8944,0,write,subject_11
1.46,-0.003,0.031,0.017,0.0105,-0.3525,0.8952,0,write,subject_11
1.47,0.017,-0.008,-0.034,0.0102,-0.3488,0.8958,0,write,subject_11
1.48,0.025,0.011,-0.058,0.0101,-0.3458,0.8964,0,write,subject_11
1.49,0,0.004,-0.006,0.0105,-0.3434,0.8967,0,write,subject_11
1.5,0.001,0.018,0.008,0.0109,-0.3409,0.8972,0,write,subject_11
1.51,0.008,-0.017,-0.005,0.0108,-0.3394,0.8973,0,write,subject_11
1.52,0.003,-0.009,-0.012,0.0103,-0.3395,0.8971,0,write,subject_11
1.53,-0.008,0.033,0.024,0.0094,-0.3404,0.8966,0,write,subject_11
1.54,-0.019,0.015,0.071,0.0079,-0.3417,0.896,0,write,subject_11
1.55,0.018,0.018,-0.074,0.0058,-0.3442,0.895,0,write,subject_11
1.56,0.038,0.042,-0.173,0.0043,-0.3472,0.894,0,write,subject_11
1.57,0.012,-0.038,-0.04,0.0041,-0.3495,0.8934,0,write,subject_11
1.58,0.003,-0.042,-0.02,0.0047,-0.3505,0.8935,0,write,subject_11
1.59,0.024,-0.011,-0.079,0.0054,-0.3515,0.8935,0,write,subject_11
1.6,0.026,0.002,-0.027,0.0069,-0.3516,0.8938,0,write,subject_11
1.61,0.013,0.001,0.06,0.0087,-0.3511,0.8944,0,write,subject_11
1.62,0.019,0.023,0.003,0.01,-0.3507,0.8949,0,write,subject_11
1.63,0.019,0.021,-0.037,0.0111,-0.3516,0.8948,0,write,subject_11
1.64,0.033,-0.017,-0.11,0.0123,-0.355,0.8941,0,write,subject_11
1.65,0.033,0.006,-0.084,0.0143,-0.3598,0.8933,0,write,subject_11
1.66,-0.016,-0.041,0.027,0.0171,-0.3659,0.892,0,write,subject_11
1.67,-0.013,-0.088,-0.018,0.0201,-0.3719,0.8909,0,write,subject_11
1.68,-0.057,-0.07,0.025,0.023,-0.376,0.8903,0,write,subject_11
1.69,-0.036,0.055,0.028,0.0259,-0.3764,0.891,0,write,subject_11
1.7,-0.021,0.113,0.047,0.0284,-0.3735,0.8927,0,write,subject_11
1.71,-0.014,0.116,0.082,0.03,-0.3701,0.8942,0,write,subject_11
1.72,-0.024,0.069,0.093,0.0303,-0.3683,0.8949,0,write,subject_11
1.73,-0.015,0.057,0.08,0.0295,-0.3674,0.895,0,write,subject_11
1.74,-0.005,0.029,0.047,0.0278,-0.3674,0.8947,0,write,subject_11
1.75,0.004,0.006,-0.004,0.0253,-0.3681,0.894,0,write,subject_11
1.76,0.008,-0.024,-0.04,0.0226,-0.3696,0.893,0,write,subject_11
1.77,0.007,-0.021,-0.058,0.0202,-0.371,0.8922,0,write,subject_11
1.78,0,-0.013,-0.049,0.0184,-0.3719,0.8917,0,write,subject_11
1.79,-0.004,0.003,-0.032,0.017,-0.3719,0.8915,0,write,subject_11
1.8,-0.011,0.014,0.005,0.0156,-0.3702,0.8918,0,write,subject_11
1.81,-0.035,0.034,0.094,0.0142,-0.3672,0.8925,0,write,subject_11
1.82,-0.06,0.042,0.166,0.012,-0.3631,0.8933,0,write,subject_11
1.83,-0.063,0.068,0.164,0.0081,-0.3585,0.894,0,write,subject_11
1.84,-0.042,0.086,0.11,0.0024,-0.354,0.8941,0,write,subject_11
1.85,-0.027,0.103,0.065,-0.0043,-0.3495,0.8938,0,write,subject_11
1.86,-0.016,0.093,0.019,-0.0123,-0.3465,0.8924,0,write,subject_11
1.87,0.007,0.068,-0.008,-0.0212,-0.3478,0.8893,0,write,subject_11
1.88,0.036,-0.028,-0.106,-0.0313,-0.3549,0.8841,0,write,subject_11
1.89,0.04,-0.074,-0.167,-0.0404,-0.364,0.8784,0,write,subject_11
1.9,0.026,-0.122,-0.195,-0.0478,-0.3722,0.8733,0,write,subject_11
1.91,0.018,-0.076,-0.171,-0.0531,-0.3777,0.8696,0,write,subject_11
1.92,0.007,-0.058,-0.132,-0.0567,-0.3813,0.8668,0,write,subject_11
1.93,0.01,-0.058,-0.125,-0.0592,-0.3833,0.8649,0,write,subject_11
