timestamp,ax,ay,az,gx,gy,gz,label,activity,subject
0,-0.067,0.444,0.718,0.2464,0.563,-0.7884,0,teeth,subject_15
0.01,-0.15,1.041,1.319,0.2359,0.5549,-0.7972,0,teeth,subject_15
0.02,-0.026,0.539,1.322,0.2325,0.5564,-0.7974,0,teeth,subject_15
0.03,-0.017,-0.576,0.196,0.2376,0.5654,-0.7897,0,teeth,subject_15
0.04,0.23,-0.724,-0.076,0.2485,0.5722,-0.7815,0,teeth,subject_15
0.05,0.245,-0.189,-0.379,0.2608,0.5728,-0.777,0,teeth,subject_15
0.06,0.522,-0.021,-1.118,0.2696,0.568,-0.7775,0,teeth,subject_15
0.07,0.478,0.459,-0.607,0.2682,0.5678,-0.7779,0,teeth,subject_15
0.08,0.182,0.272,0.046,0.258,0.568,-0.7806,0,teeth,subject_15
0.09,-0.079,0.403,0.595,0.2464,0.5609,-0.7885,0,teeth,subject_15
0.1,-0.269,0.537,1.055,0.2376,0.5532,-0.7958,0,teeth,subject_15
0.11,-0.43,0.26,1.112,0.2341,0.5521,-0.7972,0,teeth,subject_15
0.12,-0.621,-0.155,0.902,0.237,0.5551,-0.7942,0,teeth,subject_15
0.13,-0.736,-0.046,0.76,0.2458,0.5558,-0.7914,0,teeth,subject_15
0.14,-0.732,-0.152,0.47,0.2588,0.556,-0.7878,0,teeth,subject_15
0.15,-0.619,0.049,0.105,0.2732,0.5545,-0.7847,0,teeth,subject_15
0.16,-0.394,0.221,-0.011,0.285,0.553,-0.7821,0,teeth,subject_15
0.17,-0.024,0.168,-0.071,0.292,0.5528,-0.7802,0,teeth,subject_15
0.18,0.335,0.208,-0.183,0.2954,0.5506,-0.7806,0,teeth,subject_15
0.19,0.666,0.291,-0.292,0.2956,0.5475,-0.7825,0,teeth,subject_15
0.2,0.906,0.299,-0.342,0.2933,0.5461,-0.7838,0,teeth,subject_15
0.21,1.066,0.171,-0.261,0.2901,0.548,-0.783,0,teeth,subject_15
0.22,1.076,0.084,-0.164,0.2872,0.5511,-0.7816,0,teeth,subject_15
0.23,0.921,0.094,-0.031,0.2857,0.5527,-0.7812,0,teeth,subject_15
0.24,0.823,0.213,0,0.2857,0.5526,-0.7817,0,teeth,subject_15
0.25,0.794,0.284,-0.117,0.2874,0.5534,-0.7811,0,teeth,subject_15
0.26,0.598,0.271,-0.137,0.2895,0.5567,-0.7784,0,teeth,subject_15
0.27,0.282,0.076,0.041,0.2913,0.5613,-0.7745,0,teeth,subject_15
0.28,-0.118,-0.05,0.149,0.2931,0.5625,-0.7724,0,teeth,subject_15
0.29,-0.444,0.011,0.279,0.2947,0.5618,-0.7712,0,teeth,subject_15
0.3,-0.733,-0.088,0.487,0.2951,0.5631,-0.7686,0,teeth,subject_15
0.31,-0.94,-0.127,0.609,0.2953,0.5644,-0.7659,0,teeth,subject_15
0.32,-0.984,0.017,0.712,0.2965,0.5637,-0.7648,0,teeth,subject_15
0.33,-0.854,0.199,0.737,0.2984,0.5627,-0.7644,0,teeth,subject_15
0.34,-0.623,0.288,0.69,0.3001,0.5639,-0.7633,0,teeth,subject_15
0.35,-0.243,0.276,0.575,0.3015,0.5677,-0.7611,0,teeth,subject_15
0.36,0.359,0.274,0.371,0.3034,0.5714,-0.7594,0,teeth,subject_15
0.37,1.086,0.259,-0.109,0.3065,0.5736,-0.7581,0,teeth,subject_15
0.38,1.31,0.029,-0.598,0.31,0.5749,-0.7566,0,teeth,subject_15
0.39,1.121,-0.235,-0.735,0.313,0.5744,-0.756,0,teeth,subject_15
0.4,0.8,-0.189,-0.566,0.3141,0.5723,-0.7571,0,teeth,subject_15
