timestamp,ax,ay,az,gx,gy,gz,label,activity,subject
0,-0.016,0,-0.154,0.5335,-0.4492,0.6752,0,chair,subject_16
0.01,-0.019,-0.009,-0.194,0.5252,-0.4593,0.6673,0,chair,subject_16
0.02,-0.069,-0.028,-0.226,0.5156,-0.4699,0.6581,0,chair,subject_16
0.03,-0.089,-0.03,-0.279,0.5046,-0.4811,0.6476,0,chair,subject_16
0.04,-0.069,-0.031,-0.356,0.4922,-0.4927,0.6354,0,chair,subject_16
0.05,-0.076,-0.007,-0.411,0.4785,-0.505,0.6212,0,chair,subject_16
0.06,-0.102,-0.024,-0.41,0.4637,-0.518,0.6044,0,chair,subject_16
0.07,-0.084,-0.04,-0.421,0.4478,-0.5311,0.5855,0,chair,subject_16
0.08,-0.034,-0.007,-0.486,0.4311,-0.5438,0.5647,0,chair,subject_16
0.09,0.035,0.019,-0.534,0.4141,-0.556,0.542,0,chair,subject_16
0.1,0.03,-0.002,-0.511,0.3974,-0.5677,0.5174,0,chair,subject_16
0.11,0.01,-0.039,-0.445,0.3817,-0.5784,0.4915,0,chair,subject_16
0.12,0,-0.077,-0.402,0.3675,-0.5875,0.4651,0,chair,subject_16
0.13,-0.003,-0.089,-0.415,0.3556,-0.5948,0.4386,0,chair,subject_16
0.14,0.008,-0.12,-0.419,0.3462,-0.6005,0.4123,0,chair,subject_16
0.15,-0.015,-0.153,-0.388,0.3387,-0.6055,0.3863,0,chair,subject_16
0.16,-0.032,-0.179,-0.362,0.3327,-0.6101,0.3609,0,chair,subject_16
0.17,-0.052,-0.203,-0.331,0.3276,-0.6146,0.3361,0,chair,subject_16
0.18,-0.047,-0.228,-0.323,0.3228,-0.6192,0.3118,0,chair,subject_16
0.19,-0.039,-0.245,-0.31,0.3178,-0.624,0.2878,0,chair,subject_16
0.2,-0.073,-0.288,-0.281,0.3124,-0.6292,0.2641,0,chair,subject_16
0.21,-0.067,-0.305,-0.253,0.3074,-0.6347,0.2411,0,chair,subject_16
0.22,-0.039,-0.281,-0.238,0.3024,-0.6403,0.2193,0,chair,subject_16
0.23,-0.009,-0.279,-0.219,0.2973,-0.6461,0.1985,0,chair,subject_16
0.24,-0.002,-0.276,-0.199,0.2922,-0.652,0.1786,0,chair,subject_16
0.25,-0.009,-0.262,-0.184,0.287,-0.6581,0.1595,0,chair,subject_16
0.26,0.002,-0.247,-0.179,0.2821,-0.6639,0.1411,0,chair,subject_16
0.27,0.009,-0.241,-0.173,0.2768,-0.6697,0.1232,0,chair,subject_16
0.28,0.025,-0.258,-0.155,0.2711,-0.6753,0.1059,0,chair,subject_16
0.29,0.042,-0.219,-0.158,0.2653,-0.6808,0.0895,0,chair,subject_16
0.3,0.076,-0.212,-0.166,0.2587,-0.6864,0.074,0,chair,subject_16
0.31,0.091,-0.196,-0.156,0.2512,-0.6924,0.0597,0,chair,subject_16
0.32,0.101,-0.139,-0.119,0.243,-0.6984,0.0466,0,chair,subject_16
0.33,0.135,-0.118,-0.098,0.2334,-0.7039,0.0335,0,chair,subject_16
0.34,0.225,-0.1,-0.119,0.2216,-0.7086,0.0197,0,chair,subject_16
0.35,0.233,-0.132,-0.169,0.2076,-0.7125,0.0052,0,chair,subject_16
0.36,0.251,-0.123,-0.182,0.1918,-0.7157,-0.0096,0,chair,subject_16
0.37,0.308,-0.149,-0.183,0.1746,-0.718,-0.0249,0,chair,subject_16
0.38,0.298,-0.184,-0.186,0.1558,-0.7194,-0.0403,0,chair,subject_16
0.39,0.196,-0.258,-0.263,0.1356,-0.7203,-0.0556,0,chair,subject_16
0.4,0.138,-0.307,-0.317,0.1154,-0.7212,-0.0705,0,chair,subject_16
0.41,0.127,-0.344,-0.264,0.0958,-0.7221,-0.0849,0,chair,subject_16
0.42,0.096,-0.429,-0.255,0.0768,-0.7232,-0.0992,0,chair,subject_16
0.43,0.077,-0.502,-0.311,0.0596,-0.725,-0.1112,0,chair,subject_16
0.44,0.036,-0.526,-0.27,0.045,-0.7282,-0.1202,0,chair,subject_16
0.45,0.002,-0.492,-0.196,0.0331,-0.7323,-0.1263,0,chair,subject_16
0.46,-0.01,-0.463,-0.16,0.0237,-0.737,-0.1289,0,chair,subject_16
0.47,-0.009,-0.393,-0.098,0.016,-0.7421,-0.1276,0,chair,subject_16
0.48,0.005,-0.375,0.012,0.0075,-0.7466,-0.1255,0,chair,subject_16
0.49,-0.023,-0.348,0.075,-0.0027,-0.7494,-0.1236,0,chair,subject_16
0.5,-0.022,-0.333,0.033,-0.0152,-0.7498,-0.1234,0,chair,subject_16
0.51,0.006,-0.359,0.053,-0.0294,-0.7479,-0.1252,0,chair,subject_16
0.52,0.005,-0.316,0.215,-0.0443,-0.7444,-0.1269,0,chair,subject_16
0.53,0.014,-0.259,0.313,-0.0598,-0.7379,-0.1299,0,chair,subject_16
0.54,0.004,-0.216,0.36,-0.0768,-0.7277,-0.1363,0,chair,subject_16
0.55,0.009,-0.501,0.181,-0.0973,-0.7141,-0.1473,0,chair,subject_16
0.56,-0.238,-0.428,-0.344,-0.1169,-0.7004,-0.1566,0,chair,subject_16
0.57,-0.621,-0.313,1.427,-0.1437,-0.6773,-0.1696,0,chair,subject_16
0.58,-0.139,-0.402,0.627,-0.1773,-0.6436,-0.1899,0,chair,subject_16
0.59,-0.052,0.321,0.591,-0.1951,-0.6151,-0.2008,0,chair,subject_16
0.6,0.078,-0.183,0.142,-0.204,-0.5903,-0.2053,0,chair,subject_16
0.61,-0.273,-0.163,0.442,-0.2028,-0.5716,-0.2009,0,chair,subject_16
0.62,-0.555,-0.204,0.425,-0.2038,-0.5511,-0.1967,0,chair,subject_16
0.63,-0.482,0.274,0.148,-0.2044,-0.5296,-0.1924,0,chair,subject_16
0.64,-0.23,-0.128,0.25,-0.2055,-0.5081,-0.1885,0,chair,subject_16
0.65,-0.063,-0.136,0.177,-0.2062,-0.4875,-0.1837,0,chair,subject_16
0.66,0.025,0.034,0.028,-0.2062,-0.4678,-0.1775,0,chair,subject_16
0.67,0.065,-0.028,0.047,-0.2065,-0.4495,-0.1706,0,chair,subject_16
0.68,-0.086,-0.163,0.195,-0.2063,-0.4323,-0.163,0,chair,subject_16
0.69,-0.159,-0.022,0.056,-0.2057,-0.4156,-0.1545,0,chair,subject_16
0.7,-0.097,0.149,-0.061,-0.2048,-0.4003,-0.1469,0,chair,subject_16
0.71,-0.047,-0.018,0.066,-0.2042,-0.3866,-0.1397,0,chair,subject_16
0.72,-0.045,-0.059,0.045,-0.2041,-0.374,-0.132,0,chair,subject_16
