timestamp,ax,ay,az,gx,gy,gz,label,activity,subject
0,0.103,-0.045,-0.106,-0.3153,0.3927,-0.6932,0,eat,subject_18
0.01,0.103,-0.486,-0.066,-0.3318,0.3864,-0.6978,0,eat,subject_18
0.02,-0.004,-0.867,0.008,-0.3462,0.3838,-0.6988,0,eat,subject_18
0.03,-0.029,-0.848,0.012,-0.3532,0.38,-0.6991,0,eat,subject_18
0.04,0.057,-0.445,-0.034,-0.3546,0.3774,-0.6979,0,eat,subject_18
0.05,0.193,-0.272,-0.047,-0.3551,0.3806,-0.6928,0,eat,subject_18
0.06,0.271,-0.266,0.032,-0.356,0.3894,-0.6842,0,eat,subject_18
0.07,0.254,-0.326,0.071,-0.3552,0.3995,-0.6744,0,eat,subject_18
0.08,0.155,-0.152,0.093,-0.3527,0.4107,-0.663,0,eat,subject_18
0.09,0.23,0,0.093,-0.3528,0.4276,-0.6471,0,eat,subject_18
0.1,0.325,-0.115,0.13,-0.3554,0.4483,-0.6273,0,eat,subject_18
0.11,0.283,-0.199,0.13,-0.3562,0.4665,-0.607,0,eat,subject_18
0.12,0.232,-0.203,0.113,-0.3538,0.4808,-0.5874,0,eat,subject_18
0.13,0.214,-0.085,0.138,-0.3505,0.4949,-0.5659,0,eat,subject_18
0.14,0.269,-0.012,0.143,-0.349,0.5116,-0.5403,0,eat,subject_18
0.15,0.262,-0.106,0.184,-0.3487,0.5299,-0.5109,0,eat,subject_18
0.16,0.215,-0.158,0.175,-0.3449,0.5454,-0.4822,0,eat,subject_18
0.17,0.152,-0.009,0.112,-0.3346,0.5556,-0.4572,0,eat,subject_18
0.18,0.075,0.175,0.137,-0.3215,0.564,-0.4326,0,eat,subject_18
0.19,0.037,0.184,0.145,-0.311,0.5743,-0.4037,0,eat,subject_18
0.2,-0.013,0.234,0.15,-0.3039,0.5864,-0.3704,0,eat,subject_18
0.21,-0.03,0.088,0.082,-0.2934,0.5946,-0.341,0,eat,subject_18
0.22,-0.103,0.395,0.172,-0.2743,0.5972,-0.3201,0,eat,subject_18
0.23,-0.182,0.722,0.235,-0.2514,0.5975,-0.3049,0,eat,subject_18
0.24,-0.146,0.718,0.287,-0.233,0.5995,-0.29,0,eat,subject_18
0.25,-0.124,0.565,0.236,-0.2192,0.6033,-0.2767,0,eat,subject_18
0.26,-0.104,0.572,0.185,-0.2054,0.6069,-0.2691,0,eat,subject_18
0.27,-0.072,0.669,0.109,-0.1902,0.6094,-0.2682,0,eat,subject_18
0.28,-0.026,0.698,0.044,-0.1762,0.611,-0.2721,0,eat,subject_18
0.29,0.004,0.64,0.013,-0.1675,0.613,-0.2768,0,eat,subject_18
0.3,0.009,0.525,0.006,-0.1649,0.6157,-0.2809,0,eat,subject_18
0.31,0.044,0.465,-0.022,-0.1653,0.6178,-0.2865,0,eat,subject_18
0.32,0.086,0.469,-0.06,-0.1659,0.6181,-0.2955,0,eat,subject_18
0.33,0.128,0.406,-0.123,-0.1668,0.6161,-0.3076,0,eat,subject_18
0.34,0.163,0.349,-0.109,-0.1694,0.6127,-0.3199,0,eat,subject_18
0.35,0.15,0.324,0.022,-0.1746,0.6088,-0.3306,0,eat,subject_18
0.36,0.145,0.28,0.135,-0.1809,0.6051,-0.3406,0,eat,subject_18
0.37,0.186,0.299,0.134,-0.1849,0.6001,-0.353,0,eat,subject_18
0.38,0.22,0.425,0.128,-0.1845,0.5921,-0.3702,0,eat,subject_18
0.39,0.186,0.403,0.115,-0.1806,0.5807,-0.3926,0,eat,subject_18
0.4,0.155,0.447,0.168,-0.1768,0.5683,-0.4158,0,eat,subject_18
0.41,0.135,0.4,0.222,-0.1775,0.5583,-0.4359,0,eat,subject_18
0.42,0.177,0.279,0.188,-0.1809,0.5502,-0.4542,0,eat,subject_18
0.43,0.232,0.307,0.023,-0.1832,0.5402,-0.4741,0,eat,subject_18
0.44,0.236,0.4,-0.004,-0.1838,0.5262,-0.4968,0,eat,subject_18
0.45,0.192,0.426,0.071,-0.1846,0.5098,-0.5204,0,eat,subject_18
0.46,0.164,0.386,0.091,-0.1914,0.4964,-0.5399,0,eat,subject_18
0.47,0.175,0.205,0.094,-0.204,0.4874,-0.555,0,eat,subject_18
0.48,0.211,0.08,0,-0.2149,0.4766,-0.5714,0,eat,subject_18
0.49,0.261,0.085,-0.055,-0.218,0.4574,-0.5938,0,eat,subject_18
0.5,0.213,0.306,0.06,-0.2172,0.4332,-0.6179,0,eat,subject_18
0.51,0.146,-0.001,0.128,-0.2214,0.4144,-0.6367,0,eat,subject_18
0.52,0.114,-0.192,0.118,-0.2283,0.4015,-0.6506,0,eat,subject_18
0.53,0.15,-0.297,-0.011,-0.2326,0.389,-0.6636,0,eat,subject_18
0.54,0.16,-0.184,-0.036,-0.233,0.3741,-0.6766,0,eat,subject_18
0.55,0.151,0.007,0.085,-0.2325,0.3612,-0.6871,0,eat,subject_18
0.56,0.223,-0.038,0.032,-0.2369,0.3564,-0.6924,0,eat,subject_18
0.57,0.232,0,-0.006,-0.2466,0.3602,-0.6927,0,eat,subject_18
0.58,0.133,-0.261,-0.065,-0.2577,0.3678,-0.6905,0,eat,subject_18
0.59,0.107,-0.311,-0.011,-0.2656,0.3741,-0.688,0,eat,subject_18
0.6,0.222,-0.199,-0.023,-0.268,0.3757,-0.6871,0,eat,subject_18
0.61,0.277,0.04,-0.004,-0.2684,0.3765,-0.6856,0,eat,subject_18
0.62,0.297,0.073,0.005,-0.2709,0.3808,-0.6818,0,eat,subject_18
0.63,0.271,0.123,-0.001,-0.2743,0.3868,-0.677,0,eat,subject_18
0.64,0.283,0.287,0.041,-0.2782,0.3936,-0.6718,0,eat,subject_18
0.65,0.274,0.244,0.081,-0.2852,0.4044,-0.6648,0,eat,subject_18
0.66,0.284,0.216,0.076,-0.2957,0.4201,-0.6553,0,eat,subject_18
0.67,0.272,0.193,0.063,-0.3059,0.4356,-0.6464,0,eat,subject_18
