timestamp,ax,ay,az,gx,gy,gz,label,activity,subject
0,0.062,0.03,-0.018,-0.1358,0.4914,0.4488,0,hair,subject_19
0.01,0.038,0.029,0.002,-0.1373,0.4918,0.4481,0,hair,subject_19
0.02,0.029,0.032,-0.005,-0.1389,0.4918,0.4473,0,hair,subject_19
0.03,0.034,0.018,0.008,-0.1408,0.4915,0.4467,0,hair,subject_19
0.04,0.036,0.002,0.013,-0.1429,0.4912,0.4459,0,hair,subject_19
0.05,0.012,-0.005,0.026,-0.145,0.4909,0.445,0,hair,subject_19
0.06,0.006,-0.01,0.008,-0.1471,0.4904,0.4442,0,hair,subject_19
0.07,0.011,-0.006,-0.01,-0.1498,0.4899,0.4433,0,hair,subject_19
0.08,0.015,-0.015,-0.005,-0.1528,0.4892,0.4426,0,hair,subject_19
0.09,0.005,-0.03,-0.003,-0.1556,0.4885,0.4418,0,hair,subject_19
0.1,0.006,-0.032,-0.011,-0.1581,0.4881,0.4408,0,hair,subject_19
0.11,-0.002,-0.035,-0.002,-0.1605,0.4878,0.4398,0,hair,subject_19
0.12,0.003,-0.031,-0.001,-0.1625,0.4877,0.4389,0,hair,subject_19
0.13,0.007,-0.032,-0.005,-0.1643,0.4878,0.4379,0,hair,subject_19
0.14,0.005,-0.037,-0.012,-0.1659,0.4879,0.437,0,hair,subject_19
0.15,0.001,-0.029,-0.012,-0.1672,0.4882,0.436,0,hair,subject_19
0.16,0.003,-0.022,-0.002,-0.1681,0.4884,0.4353,0,hair,subject_19
0.17,0.018,-0.024,0.008,-0.1688,0.4884,0.4351,0,hair,subject_19
0.18,0.026,-0.017,0.006,-0.1695,0.4885,0.4347,0,hair,subject_19
0.19,0.024,-0.012,0.002,-0.17,0.4887,0.4346,0,hair,subject_19
0.2,0.02,-0.012,0.009,-0.1704,0.4888,0.4346,0,hair,subject_19
0.21,0.028,-0.008,0.012,-0.1702,0.489,0.4343,0,hair,subject_19
0.22,0.038,0.002,0.011,-0.1695,0.4894,0.4341,0,hair,subject_19
0.23,0.036,0.002,0.017,-0.1686,0.4897,0.4338,0,hair,subject_19
0.24,0.025,0.012,0.012,-0.1676,0.4899,0.4337,0,hair,subject_19
0.25,0.025,0.014,0.014,-0.1668,0.4898,0.4338,0,hair,subject_19
0.26,0.022,0.005,0.008,-0.1661,0.4894,0.4341,0,hair,subject_19
0.27,0.023,0.005,0.01,-0.1653,0.4888,0.4344,0,hair,subject_19
0.28,0.021,0.009,0.014,-0.1645,0.4884,0.4345,0,hair,subject_19
0.29,0.015,0.007,0,-0.1635,0.488,0.4344,0,hair,subject_19
0.3,0.012,0.011,0.007,-0.1626,0.4877,0.4341,0,hair,subject_19
0.31,0,-0.001,0.009,-0.1616,0.4869,0.4342,0,hair,subject_19
0.32,-0.008,-0.011,0.003,-0.1607,0.4863,0.4339,0,hair,subject_19
0.33,-0.001,-0.009,-0.003,-0.1595,0.4859,0.4335,0,hair,subject_19
0.34,0.009,-0.002,-0.013,-0.1584,0.4858,0.4331,0,hair,subject_19
0.35,0.011,-0.008,0,-0.1572,0.4854,0.4333,0,hair,subject_19
0.36,0.014,-0.005,0.007,-0.1559,0.4851,0.4337,0,hair,subject_19
0.37,0.022,-0.015,0.007,-0.1547,0.4847,0.4345,0,hair,subject_19
0.38,0.022,-0.005,0,-0.1534,0.4843,0.4352,0,hair,subject_19
0.39,0.032,-0.014,-0.024,-0.1518,0.484,0.4362,0,hair,subject_19
0.4,0.037,-0.016,-0.012,-0.1499,0.4834,0.4373,0,hair,subject_19
