timestamp,ax,ay,az,gx,gy,gz,label,activity,subject
0,0.002,0.009,-0.002,0.2025,-0.5498,0.7817,0,clap,subject_21
0.01,0.004,0.007,0.003,0.2025,-0.5498,0.7817,0,clap,subject_21
0.02,0.003,0.007,0.002,0.2025,-0.5497,0.7817,0,clap,subject_21
0.03,0.004,0.007,-0.004,0.2024,-0.5497,0.7818,0,clap,subject_21
0.04,0.007,0.006,0,0.2024,-0.5497,0.7818,0,clap,subject_21
0.05,0.004,0.01,-0.005,0.2024,-0.5496,0.7818,0,clap,subject_21
0.06,0.006,0.006,-0.001,0.2024,-0.5496,0.7819,0,clap,subject_21
0.07,0.003,0.005,0.001,0.2023,-0.5495,0.7819,0,clap,subject_21
0.08,0.003,0.007,-0.004,0.2022,-0.5494,0.782,0,clap,subject_21
0.09,0.007,0.002,0,0.2022,-0.5494,0.782,0,clap,subject_21
0.1,0.007,0.002,-0.004,0.2021,-0.5494,0.7821,0,clap,subject_21
0.11,0.007,0.003,0,0.2021,-0.5494,0.7821,0,clap,subject_21
0.12,0.007,0.004,0,0.2021,-0.5493,0.7821,0,clap,subject_21
0.13,0.006,0.005,0,0.2021,-0.5492,0.7822,0,clap,subject_21
0.14,0.008,0.006,0,0.2022,-0.5491,0.7823,0,clap,subject_21
0.15,0.002,0.006,0,0.2022,-0.5489,0.7823,0,clap,subject_21
0.16,0,0.01,0,0.2022,-0.5489,0.7824,0,clap,subject_21
0.17,0,0.009,0.002,0.2023,-0.5488,0.7824,0,clap,subject_21
0.18,0.003,0.008,0,0.2023,-0.5488,0.7824,0,clap,subject_21
0.19,0.005,0.004,-0.005,0.2023,-0.5488,0.7824,0,clap,subject_21
0.2,0.004,0.006,-0.005,0.2022,-0.5488,0.7824,0,clap,subject_21
0.21,0.003,0.006,0.003,0.2022,-0.5487,0.7824,0,clap,subject_21
0.22,0.005,0.007,0.005,0.2022,-0.5487,0.7825,0,clap,subject_21
0.23,0.002,0.006,-0.001,0.2021,-0.5486,0.7826,0,clap,subject_21
0.24,0.004,0.004,-0.002,0.202,-0.5486,0.7826,0,clap,subject_21
0.25,0.005,0.005,-0.001,0.202,-0.5486,0.7826,0,clap,subject_21
0.26,0.008,0.008,0,0.2019,-0.5485,0.7827,0,clap,subject_21
0.27,0.007,0.005,0,0.2019,-0.5485,0.7827,0,clap,subject_21
0.28,0.006,0.004,0.005,0.2019,-0.5485,0.7827,0,clap,subject_21
0.29,0.004,0.008,0,0.2018,-0.5484,0.7828,0,clap,subject_21
0.3,0.002,0.006,-0.005,0.2018,-0.5484,0.7828,0,clap,subject_21
0.31,0.005,0.006,0,0.2018,-0.5484,0.7828,0,clap,subject_21
0.32,0.004,0.005,-0.005,0.2018,-0.5484,0.7828,0,clap,subject_21
0.33,0.008,0.007,0.003,0.2018,-0.5483,0.7828,0,clap,subject_21
0.34,0.004,0.005,-0.001,0.2018,-0.5483,0.7828,0,clap,subject_21
0.35,0.004,0.002,0,0.2018,-0.5483,0.7828,0,clap,subject_21
0.36,0.004,0.008,-0.002,0.2018,-0.5483,0.7829,0,clap,subject_21
0.37,0.004,0.006,0,0.2018,-0.5483,0.7829,0,clap,subject_21
0.38,0.005,0.007,0,0.2018,-0.5483,0.7829,0,clap,subject_21
0.39,0.007,0.007,-0.001,0.2018,-0.5482,0.7829,0,clap,subject_21
0.4,0.007,0.01,0,0.2018,-0.5482,0.7829,0,clap,subject_21
0.41,0.006,0.006,0,0.2017,-0.5482,0.783,0,clap,subject_21
0.42,0.002,0.005,-0.001,0.2017,-0.5482,0.783,0,clap,subject_21
0.43,0.003,0.007,0.002,0.2017,-0.5482,0.783,0,clap,subject_21
0.44,0.005,0.005,0,0.2017,-0.5482,0.783,0,clap,subject_21
0.45,0.007,0.007,0,0.2015,-0.5482,0.783,0,clap,subject_21
0.46,0.007,0.006,0.002,0.2014,-0.5483,0.783,0,clap,subject_21
0.47,0.009,0.004,-0.001,0.2014,-0.5483,0.783,0,clap,subject_21
0.48,0.006,0.004,-0.002,0.2014,-0.5482,0.783,0,clap,subject_21
0.49,0.006,0.007,0,0.2014,-0.5482,0.783,0,clap,subject_21
0.5,0.005,0.007,0,0.2013,-0.5482,0.7831,0,clap,subject_21
0.51,0.005,0.006,-0.002,0.2013,-0.5482,0.7831,0,clap,subject_21
0.52,0.002,0.007,0,0.2013,-0.5481,0.7831,0,clap,subject_21
